,AMR
1640,37902
1640,37902
1649,37902
1649,37902
1649,37902
1649,37902
1649,37902
1660,37902
1660,37902
1660,37902
1660,37902
1660,37902
1669,37902
1669,37902
1669,37902
1669,37902
1669,37902
1679,37902
1679,37902
1679,37902
1679,37902
1679,37902
1687,37902
1687,37902
1687,37902
1687,37902
1687,37902
1697,37902
1697,37902
1697,37902
1697,37902
1697,37902
1707,37902
1707,37902
1707,37902
1707,37902
1707,37902
1717,37902
1717,37902
1717,37902
1717,37902
1717,37902
1726,37902
1726,37902
1726,37902
1726,37902
1726,37902
1726,37902
1739,37902
1739,37902
1739,37902
1739,37902
1739,37902
1739,37902
1749,37902
1749,37902
1749,37902
1749,37902
1749,37902
1749,37902
1762,37902
1762,37902
1762,37902
1762,37902
1762,37902
1762,37902
1771,37902
1771,37902
1771,37902
1771,37902
1771,37902
1771,37902
1783,37902
1783,37902
1783,37902
1783,37902
1783,37902
1783,37902
1783,37902
1796,37902
1796,37902
1796,37902
1796,37902
1796,37902
1796,37902
1796,37902
1808,37902
1808,37902
1808,37902
1808,37902
1808,37902
1808,37902
1808,37902
1822,37902
1822,37902
1822,37902
1822,37902
1822,37902
1822,37902
1822,37902
1836,37902
1836,37902
1836,37902
1836,37902
1836,37902
1836,37902
1836,37902
1848,37902
1848,37902
1848,37902
1848,37902
1848,37902
1848,37902
1848,37902
1862,37902
1862,37902
1862,37902
1862,37902
1862,37902
1862,37902
1862,37902
1875,37902
1875,37902
1875,37902
1875,37902
1875,37902
1875,37902
1875,37902
1887,37902
1887,37902
1887,37902
1887,37902
1887,37902
1887,37902
1887,37902
1901,37902
1901,37902
1901,37902
1901,37902
1901,37902
1901,37902
1901,37902
1918,37914
1918,37914
1918,37914
1918,37914
1918,37914
1918,37914
1918,37914
1934,37938
1934,37938
1934,37938
1934,37938
1934,37938
1934,37938
1934,37938
1945,37957
1945,37957
1945,37957
1945,37957
1945,37957
1945,37957
1945,37957
1960,37979
1960,37979
1960,37979
1960,37979
1960,37979
1960,37979
1960,37979
1975,38000
1975,38000
1975,38000
1975,38000
1975,38000
1975,38000
1975,38000
1988,38021
1988,38021
1988,38021
1988,38021
1988,38021
1988,38021
1988,38021
2001,38041
2001,38041
2001,38041
2001,38041
2001,38041
2001,38041
2001,38041
2014,38061
2014,38061
2014,38061
2014,38061
2014,38061
2014,38061
2014,38061
2028,38074
2028,38074
2028,38074
2028,38074
2028,38074
2028,38074
2028,38074
2041,38088
2041,38088
2041,38088
2041,38088
2041,38088
2041,38088
2041,38088
2055,38101
2055,38101
2055,38101
2055,38101
2055,38101
2055,38101
2055,38101
2069,38113
2069,38113
2069,38113
2069,38113
2069,38113
2069,38113
2069,38113
2083,38126
2083,38126
2083,38126
2083,38126
2083,38126
2083,38126
2083,38126
2096,38140
2096,38140
2096,38140
2096,38140
2096,38140
2096,38140
2096,38140
2109,38153
2109,38153
2109,38153
2109,38153
2109,38153
2109,38153
2109,38153
2123,38164
2123,38164
2123,38164
2123,38164
2123,38164
2123,38164
2123,38164
2135,38164
2135,38164
2135,38164
2135,38164
2135,38164
2135,38164
2135,38164
2149,38164
2149,38164
2149,38164
2149,38164
2149,38164
2149,38164
2149,38164
2162,38164
2162,38164
2162,38164
2162,38164
2162,38164
2162,38164
2162,38164
2176,38164
2176,38164
2176,38164
2176,38164
2176,38164
2176,38164
2176,38164
2191,38164
2191,38164
2191,38164
2191,38164
2191,38164
2191,38164
2191,38164
2191,38164
2205,38164
2205,38164
2205,38164
2205,38164
2205,38164
2205,38164
2205,38164
2205,38164
2222,38164
2222,38164
2222,38164
2222,38164
2222,38164
2222,38164
2222,38164
2222,38164
2237,38164
2237,38164
2237,38164
2237,38164
2237,38164
2237,38164
2237,38164
2237,38164
2248,38164
2248,38164
2248,38164
2248,38164
2248,38164
2248,38164
2248,38164
2248,38164
2263,38164
2263,38164
2263,38164
2263,38164
2263,38164
2263,38164
2263,38164
2263,38164
2279,38164
2279,38164
2279,38164
2279,38164
2279,38164
2279,38164
2279,38164
2279,38164
2296,38164
2296,38164
2296,38164
2296,38164
2296,38164
2296,38164
2296,38164
2296,38164
2296,38164
2314,38164
2314,38164
2314,38164
2314,38164
2314,38164
2314,38164
2314,38164
2314,38164
2314,38164
2330,38164
2330,38164
2330,38164
2330,38164
2330,38164
2330,38164
2330,38164
2330,38164
2330,38164
2349,38164
2349,38164
2349,38164
2349,38164
2349,38164
2349,38164
2349,38164
2349,38164
2349,38164
2366,38164
2366,38164
2366,38164
2366,38164
2366,38164
2366,38164
2366,38164
2366,38164
2366,38164
2382,38164
2382,38164
2382,38164
2382,38164
2382,38164
2382,38164
2382,38164
2382,38164
2382,38164
2399,38164
2399,38164
2399,38164
2399,38164
2399,38164
2399,38164
2399,38164
2399,38164
2399,38164
2416,38164
2416,38164
2416,38164
2416,38164
2416,38164
2416,38164
2416,38164
2416,38164
2416,38164
2434,38164
2434,38164
2434,38164
2434,38164
2434,38164
2434,38164
2434,38164
2434,38164
2434,38164
2450,38164
2450,38164
2450,38164
2450,38164
2450,38164
2450,38164
2450,38164
2450,38164
2450,38164
2468,38164
2468,38164
2468,38164
2468,38164
2468,38164
2468,38164
2468,38164
2468,38164
2468,38164
2485,38164
2485,38164
2485,38164
2485,38164
2485,38164
2485,38164
2485,38164
2485,38164
2485,38164
2504,38164
2504,38164
2504,38164
2504,38164
2504,38164
2504,38164
2504,38164
2504,38164
2504,38164
2520,38164
2520,38164
2520,38164
2520,38164
2520,38164
2520,38164
2520,38164
2520,38164
2520,38164
2537,38173
2537,38173
2537,38173
2537,38173
2537,38173
2537,38173
2537,38173
2537,38173
2537,38173
2554,38191
2554,38191
2554,38191
2554,38191
2554,38191
2554,38191
2554,38191
2554,38191
2554,38191
2572,38213
2572,38213
2572,38213
2572,38213
2572,38213
2572,38213
2572,38213
2572,38213
2572,38213
2589,38237
2589,38237
2589,38237
2589,38237
2589,38237
2589,38237
2589,38237
2589,38237
2589,38237
2608,38261
2608,38261
2608,38261
2608,38261
2608,38261
2608,38261
2608,38261
2608,38261
2608,38261
2625,38287
2625,38287
2625,38287
2625,38287
2625,38287
2625,38287
2625,38287
2625,38287
2625,38287
2643,38302
2643,38302
2643,38302
2643,38302
2643,38302
2643,38302
2643,38302
2643,38302
2643,38302
2659,38302
2659,38302
2659,38302
2659,38302
2659,38302
2659,38302
2659,38302
2659,38302
2659,38302
2677,38302
2677,38302
2677,38302
2677,38302
2677,38302
2677,38302
2677,38302
2677,38302
2677,38302
2693,38302
2693,38302
2693,38302
2693,38302
2693,38302
2693,38302
2693,38302
2693,38302
2693,38302
2708,38302
2708,38302
2708,38302
2708,38302
2708,38302
2708,38302
2708,38302
2708,38302
2708,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
2725,38302
