,AMR,Capacity,HM,PLC,Site
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
119,33599,40.0,01:00:16,CC-C8-1E,PNB_TVL_OHSR_01
